"Notes"	"Residence State"	"Residence State Code"	"Residence County"	"Residence County Code"	"Year"	"Year Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths	% of Total Deaths
	"Idaho"	"16"	"Gooding County, ID"	"16047"	"2021"	"2021"	"15-24 years"	"15-24"	Suppressed	Suppressed
	"Idaho"	"16"	"Gooding County, ID"	"16047"	"2021"	"2021"	"25-34 years"	"25-34"	Suppressed	Suppressed
	"Idaho"	"16"	"Gooding County, ID"	"16047"	"2021"	"2021"	"35-44 years"	"35-44"	Suppressed	Suppressed
	"Idaho"	"16"	"Gooding County, ID"	"16047"	"2021"	"2021"	"45-54 years"	"45-54"	Suppressed	Suppressed
	"Idaho"	"16"	"Gooding County, ID"	"16047"	"2021"	"2021"	"55-64 years"	"55-64"	24	0.0%
	"Idaho"	"16"	"Gooding County, ID"	"16047"	"2021"	"2021"	"65-74 years"	"65-74"	35	0.0%
	"Idaho"	"16"	"Gooding County, ID"	"16047"	"2021"	"2021"	"75-84 years"	"75-84"	45	0.0%
	"Idaho"	"16"	"Gooding County, ID"	"16047"	"2021"	"2021"	"85+ years"	"85+"	49	0.0%
	"Idaho"	"16"	"Gooding County, ID"	"16047"	"2021"	"2021"	"Not Stated"	"NS"	0	0.0%
	"Idaho"	"16"	"Gooding County, ID"	"16047"	"2022"	"2022"	"< 1 year"	"1"	0	0.0%
	"Idaho"	"16"	"Gooding County, ID"	"16047"	"2022"	"2022"	"1-4 years"	"1-4"	0	0.0%
	"Idaho"	"16"	"Gooding County, ID"	"16047"	"2022"	"2022"	"5-14 years"	"5-14"	0	0.0%
	"Idaho"	"16"	"Gooding County, ID"	"16047"	"2022"	"2022"	"15-24 years"	"15-24"	Suppressed	Suppressed
	"Idaho"	"16"	"Gooding County, ID"	"16047"	"2022"	"2022"	"25-34 years"	"25-34"	Suppressed	Suppressed
	"Idaho"	"16"	"Gooding County, ID"	"16047"	"2022"	"2022"	"35-44 years"	"35-44"	Suppressed	Suppressed
	"Idaho"	"16"	"Gooding County, ID"	"16047"	"2022"	"2022"	"45-54 years"	"45-54"	Suppressed	Suppressed
	"Idaho"	"16"	"Gooding County, ID"	"16047"	"2022"	"2022"	"55-64 years"	"55-64"	18	0.0%
	"Idaho"	"16"	"Gooding County, ID"	"16047"	"2022"	"2022"	"65-74 years"	"65-74"	42	0.0%
	"Idaho"	"16"	"Gooding County, ID"	"16047"	"2022"	"2022"	"75-84 years"	"75-84"	44	0.0%
	"Idaho"	"16"	"Gooding County, ID"	"16047"	"2022"	"2022"	"85+ years"	"85+"	57	0.1%
	"Idaho"	"16"	"Gooding County, ID"	"16047"	"2022"	"2022"	"Not Stated"	"NS"	0	0.0%
	"Idaho"	"16"	"Gooding County, ID"	"16047"	"2023 (provisional)"	"2023"	"< 1 year"	"1"	Suppressed	Suppressed
	"Idaho"	"16"	"Gooding County, ID"	"16047"	"2023 (provisional)"	"2023"	"1-4 years"	"1-4"	Suppressed	Suppressed
	"Idaho"	"16"	"Gooding County, ID"	"16047"	"2023 (provisional)"	"2023"	"5-14 years"	"5-14"	Suppressed	Suppressed
	"Idaho"	"16"	"Gooding County, ID"	"16047"	"2023 (provisional)"	"2023"	"15-24 years"	"15-24"	Suppressed	Suppressed
	"Idaho"	"16"	"Gooding County, ID"	"16047"	"2023 (provisional)"	"2023"	"25-34 years"	"25-34"	Suppressed	Suppressed
	"Idaho"	"16"	"Gooding County, ID"	"16047"	"2023 (provisional)"	"2023"	"35-44 years"	"35-44"	Suppressed	Suppressed
	"Idaho"	"16"	"Gooding County, ID"	"16047"	"2023 (provisional)"	"2023"	"45-54 years"	"45-54"	Suppressed	Suppressed
	"Idaho"	"16"	"Gooding County, ID"	"16047"	"2023 (provisional)"	"2023"	"55-64 years"	"55-64"	15	0.0%
	"Idaho"	"16"	"Gooding County, ID"	"16047"	"2023 (provisional)"	"2023"	"65-74 years"	"65-74"	36	0.0%
	"Idaho"	"16"	"Gooding County, ID"	"16047"	"2023 (provisional)"	"2023"	"75-84 years"	"75-84"	44	0.0%
	"Idaho"	"16"	"Gooding County, ID"	"16047"	"2023 (provisional)"	"2023"	"85+ years"	"85+"	37	0.0%
	"Idaho"	"16"	"Gooding County, ID"	"16047"	"2023 (provisional)"	"2023"	"Not Stated"	"NS"	0	0.0%
	"Idaho"	"16"	"Gooding County, ID"	"16047"	"2024 (provisional and partial)"	"2024"	"< 1 year"	"1"	Suppressed	Suppressed
	"Idaho"	"16"	"Gooding County, ID"	"16047"	"2024 (provisional and partial)"	"2024"	"1-4 years"	"1-4"	0	0.0%
	"Idaho"	"16"	"Gooding County, ID"	"16047"	"2024 (provisional and partial)"	"2024"	"5-14 years"	"5-14"	Suppressed	Suppressed
	"Idaho"	"16"	"Gooding County, ID"	"16047"	"2024 (provisional and partial)"	"2024"	"15-24 years"	"15-24"	0	0.0%
	"Idaho"	"16"	"Gooding County, ID"	"16047"	"2024 (provisional and partial)"	"2024"	"25-34 years"	"25-34"	0	0.0%
	"Idaho"	"16"	"Gooding County, ID"	"16047"	"2024 (provisional and partial)"	"2024"	"35-44 years"	"35-44"	Suppressed	Suppressed
	"Idaho"	"16"	"Gooding County, ID"	"16047"	"2024 (provisional and partial)"	"2024"	"45-54 years"	"45-54"	Suppressed	Suppressed
	"Idaho"	"16"	"Gooding County, ID"	"16047"	"2024 (provisional and partial)"	"2024"	"55-64 years"	"55-64"	Suppressed	Suppressed
	"Idaho"	"16"	"Gooding County, ID"	"16047"	"2024 (provisional and partial)"	"2024"	"65-74 years"	"65-74"	14	0.0%
	"Idaho"	"16"	"Gooding County, ID"	"16047"	"2024 (provisional and partial)"	"2024"	"75-84 years"	"75-84"	29	0.0%
	"Idaho"	"16"	"Gooding County, ID"	"16047"	"2024 (provisional and partial)"	"2024"	"85+ years"	"85+"	39	0.0%
	"Idaho"	"16"	"Gooding County, ID"	"16047"	"2024 (provisional and partial)"	"2024"	"Not Stated"	"NS"	0	0.0%
	"Idaho"	"16"	"Idaho County, ID"	"16049"	"2018"	"2018"	"< 1 year"	"1"	0	0.0%
	"Idaho"	"16"	"Idaho County, ID"	"16049"	"2018"	"2018"	"1-4 years"	"1-4"	0	0.0%
	"Idaho"	"16"	"Idaho County, ID"	"16049"	"2018"	"2018"	"5-14 years"	"5-14"	Suppressed	Suppressed
	"Idaho"	"16"	"Idaho County, ID"	"16049"	"2018"	"2018"	"15-24 years"	"15-24"	Suppressed	Suppressed
	"Idaho"	"16"	"Idaho County, ID"	"16049"	"2018"	"2018"	"25-34 years"	"25-34"	Suppressed	Suppressed
	"Idaho"	"16"	"Idaho County, ID"	"16049"	"2018"	"2018"	"35-44 years"	"35-44"	Suppressed	Suppressed
	"Idaho"	"16"	"Idaho County, ID"	"16049"	"2018"	"2018"	"45-54 years"	"45-54"	Suppressed	Suppressed
	"Idaho"	"16"	"Idaho County, ID"	"16049"	"2018"	"2018"	"55-64 years"	"55-64"	24	0.0%
	"Idaho"	"16"	"Idaho County, ID"	"16049"	"2018"	"2018"	"65-74 years"	"65-74"	38	0.0%
	"Idaho"	"16"	"Idaho County, ID"	"16049"	"2018"	"2018"	"75-84 years"	"75-84"	59	0.1%
	"Idaho"	"16"	"Idaho County, ID"	"16049"	"2018"	"2018"	"85+ years"	"85+"	67	0.1%
	"Idaho"	"16"	"Idaho County, ID"	"16049"	"2018"	"2018"	"Not Stated"	"NS"	0	0.0%
	"Idaho"	"16"	"Idaho County, ID"	"16049"	"2019"	"2019"	"< 1 year"	"1"	0	0.0%
	"Idaho"	"16"	"Idaho County, ID"	"16049"	"2019"	"2019"	"1-4 years"	"1-4"	0	0.0%
	"Idaho"	"16"	"Idaho County, ID"	"16049"	"2019"	"2019"	"5-14 years"	"5-14"	Suppressed	Suppressed
	"Idaho"	"16"	"Idaho County, ID"	"16049"	"2019"	"2019"	"15-24 years"	"15-24"	Suppressed	Suppressed
	"Idaho"	"16"	"Idaho County, ID"	"16049"	"2019"	"2019"	"25-34 years"	"25-34"	Suppressed	Suppressed
	"Idaho"	"16"	"Idaho County, ID"	"16049"	"2019"	"2019"	"35-44 years"	"35-44"	Suppressed	Suppressed
	"Idaho"	"16"	"Idaho County, ID"	"16049"	"2019"	"2019"	"45-54 years"	"45-54"	Suppressed	Suppressed
	"Idaho"	"16"	"Idaho County, ID"	"16049"	"2019"	"2019"	"55-64 years"	"55-64"	24	0.0%
	"Idaho"	"16"	"Idaho County, ID"	"16049"	"2019"	"2019"	"65-74 years"	"65-74"	50	0.0%
	"Idaho"	"16"	"Idaho County, ID"	"16049"	"2019"	"2019"	"75-84 years"	"75-84"	45	0.0%
	"Idaho"	"16"	"Idaho County, ID"	"16049"	"2019"	"2019"	"85+ years"	"85+"	63	0.1%
	"Idaho"	"16"	"Idaho County, ID"	"16049"	"2019"	"2019"	"Not Stated"	"NS"	0	0.0%
	"Idaho"	"16"	"Idaho County, ID"	"16049"	"2020"	"2020"	"< 1 year"	"1"	Suppressed	Suppressed
	"Idaho"	"16"	"Idaho County, ID"	"16049"	"2020"	"2020"	"1-4 years"	"1-4"	0	0.0%
	"Idaho"	"16"	"Idaho County, ID"	"16049"	"2020"	"2020"	"5-14 years"	"5-14"	0	0.0%
	"Idaho"	"16"	"Idaho County, ID"	"16049"	"2020"	"2020"	"15-24 years"	"15-24"	Suppressed	Suppressed
	"Idaho"	"16"	"Idaho County, ID"	"16049"	"2020"	"2020"	"25-34 years"	"25-34"	Suppressed	Suppressed
	"Idaho"	"16"	"Idaho County, ID"	"16049"	"2020"	"2020"	"35-44 years"	"35-44"	Suppressed	Suppressed
	"Idaho"	"16"	"Idaho County, ID"	"16049"	"2020"	"2020"	"45-54 years"	"45-54"	10	0.0%
	"Idaho"	"16"	"Idaho County, ID"	"16049"	"2020"	"2020"	"55-64 years"	"55-64"	16	0.0%
	"Idaho"	"16"	"Idaho County, ID"	"16049"	"2020"	"2020"	"65-74 years"	"65-74"	49	0.0%
	"Idaho"	"16"	"Idaho County, ID"	"16049"	"2020"	"2020"	"75-84 years"	"75-84"	61	0.1%
	"Idaho"	"16"	"Idaho County, ID"	"16049"	"2020"	"2020"	"85+ years"	"85+"	67	0.1%
	"Idaho"	"16"	"Idaho County, ID"	"16049"	"2020"	"2020"	"Not Stated"	"NS"	0	0.0%
	"Idaho"	"16"	"Idaho County, ID"	"16049"	"2021"	"2021"	"< 1 year"	"1"	0	0.0%
	"Idaho"	"16"	"Idaho County, ID"	"16049"	"2021"	"2021"	"1-4 years"	"1-4"	0	0.0%
	"Idaho"	"16"	"Idaho County, ID"	"16049"	"2021"	"2021"	"5-14 years"	"5-14"	0	0.0%
	"Idaho"	"16"	"Idaho County, ID"	"16049"	"2021"	"2021"	"15-24 years"	"15-24"	Suppressed	Suppressed
	"Idaho"	"16"	"Idaho County, ID"	"16049"	"2021"	"2021"	"25-34 years"	"25-34"	Suppressed	Suppressed
	"Idaho"	"16"	"Idaho County, ID"	"16049"	"2021"	"2021"	"35-44 years"	"35-44"	Suppressed	Suppressed
	"Idaho"	"16"	"Idaho County, ID"	"16049"	"2021"	"2021"	"45-54 years"	"45-54"	14	0.0%
	"Idaho"	"16"	"Idaho County, ID"	"16049"	"2021"	"2021"	"55-64 years"	"55-64"	29	0.0%
	"Idaho"	"16"	"Idaho County, ID"	"16049"	"2021"	"2021"	"65-74 years"	"65-74"	68	0.1%
	"Idaho"	"16"	"Idaho County, ID"	"16049"	"2021"	"2021"	"75-84 years"	"75-84"	75	0.1%
	"Idaho"	"16"	"Idaho County, ID"	"16049"	"2021"	"2021"	"85+ years"	"85+"	58	0.1%
	"Idaho"	"16"	"Idaho County, ID"	"16049"	"2021"	"2021"	"Not Stated"	"NS"	0	0.0%
	"Idaho"	"16"	"Idaho County, ID"	"16049"	"2022"	"2022"	"< 1 year"	"1"	Suppressed	Suppressed
	"Idaho"	"16"	"Idaho County, ID"	"16049"	"2022"	"2022"	"1-4 years"	"1-4"	0	0.0%
	"Idaho"	"16"	"Idaho County, ID"	"16049"	"2022"	"2022"	"5-14 years"	"5-14"	Suppressed	Suppressed
	"Idaho"	"16"	"Idaho County, ID"	"16049"	"2022"	"2022"	"15-24 years"	"15-24"	Suppressed	Suppressed
	"Idaho"	"16"	"Idaho County, ID"	"16049"	"2022"	"2022"	"25-34 years"	"25-34"	Suppressed	Suppressed
	"Idaho"	"16"	"Idaho County, ID"	"16049"	"2022"	"2022"	"35-44 years"	"35-44"	Suppressed	Suppressed
	"Idaho"	"16"	"Idaho County, ID"	"16049"	"2022"	"2022"	"45-54 years"	"45-54"	Suppressed	Suppressed
	"Idaho"	"16"	"Idaho County, ID"	"16049"	"2022"	"2022"	"55-64 years"	"55-64"	24	0.0%
	"Idaho"	"16"	"Idaho County, ID"	"16049"	"2022"	"2022"	"65-74 years"	"65-74"	60	0.1%
	"Idaho"	"16"	"Idaho County, ID"	"16049"	"2022"	"2022"	"75-84 years"	"75-84"	64	0.1%
	"Idaho"	"16"	"Idaho County, ID"	"16049"	"2022"	"2022"	"85+ years"	"85+"	62	0.1%
	"Idaho"	"16"	"Idaho County, ID"	"16049"	"2022"	"2022"	"Not Stated"	"NS"	0	0.0%
	"Idaho"	"16"	"Idaho County, ID"	"16049"	"2023 (provisional)"	"2023"	"< 1 year"	"1"	0	0.0%
	"Idaho"	"16"	"Idaho County, ID"	"16049"	"2023 (provisional)"	"2023"	"1-4 years"	"1-4"	0	0.0%
	"Idaho"	"16"	"Idaho County, ID"	"16049"	"2023 (provisional)"	"2023"	"5-14 years"	"5-14"	0	0.0%
	"Idaho"	"16"	"Idaho County, ID"	"16049"	"2023 (provisional)"	"2023"	"15-24 years"	"15-24"	0	0.0%
	"Idaho"	"16"	"Idaho County, ID"	"16049"	"2023 (provisional)"	"2023"	"25-34 years"	"25-34"	Suppressed	Suppressed
	"Idaho"	"16"	"Idaho County, ID"	"16049"	"2023 (provisional)"	"2023"	"35-44 years"	"35-44"	Suppressed	Suppressed
	"Idaho"	"16"	"Idaho County, ID"	"16049"	"2023 (provisional)"	"2023"	"45-54 years"	"45-54"	Suppressed	Suppressed
	"Idaho"	"16"	"Idaho County, ID"	"16049"	"2023 (provisional)"	"2023"	"55-64 years"	"55-64"	21	0.0%
	"Idaho"	"16"	"Idaho County, ID"	"16049"	"2023 (provisional)"	"2023"	"65-74 years"	"65-74"	49	0.0%
	"Idaho"	"16"	"Idaho County, ID"	"16049"	"2023 (provisional)"	"2023"	"75-84 years"	"75-84"	64	0.1%
	"Idaho"	"16"	"Idaho County, ID"	"16049"	"2023 (provisional)"	"2023"	"85+ years"	"85+"	70	0.1%
	"Idaho"	"16"	"Idaho County, ID"	"16049"	"2023 (provisional)"	"2023"	"Not Stated"	"NS"	0	0.0%
	"Idaho"	"16"	"Idaho County, ID"	"16049"	"2024 (provisional and partial)"	"2024"	"< 1 year"	"1"	Suppressed	Suppressed
	"Idaho"	"16"	"Idaho County, ID"	"16049"	"2024 (provisional and partial)"	"2024"	"1-4 years"	"1-4"	0	0.0%
	"Idaho"	"16"	"Idaho County, ID"	"16049"	"2024 (provisional and partial)"	"2024"	"5-14 years"	"5-14"	0	0.0%
	"Idaho"	"16"	"Idaho County, ID"	"16049"	"2024 (provisional and partial)"	"2024"	"15-24 years"	"15-24"	Suppressed	Suppressed
	"Idaho"	"16"	"Idaho County, ID"	"16049"	"2024 (provisional and partial)"	"2024"	"25-34 years"	"25-34"	Suppressed	Suppressed
	"Idaho"	"16"	"Idaho County, ID"	"16049"	"2024 (provisional and partial)"	"2024"	"35-44 years"	"35-44"	Suppressed	Suppressed
	"Idaho"	"16"	"Idaho County, ID"	"16049"	"2024 (provisional and partial)"	"2024"	"45-54 years"	"45-54"	Suppressed	Suppressed
	"Idaho"	"16"	"Idaho County, ID"	"16049"	"2024 (provisional and partial)"	"2024"	"55-64 years"	"55-64"	16	0.0%
	"Idaho"	"16"	"Idaho County, ID"	"16049"	"2024 (provisional and partial)"	"2024"	"65-74 years"	"65-74"	29	0.0%
	"Idaho"	"16"	"Idaho County, ID"	"16049"	"2024 (provisional and partial)"	"2024"	"75-84 years"	"75-84"	45	0.0%
	"Idaho"	"16"	"Idaho County, ID"	"16049"	"2024 (provisional and partial)"	"2024"	"85+ years"	"85+"	40	0.0%
	"Idaho"	"16"	"Idaho County, ID"	"16049"	"2024 (provisional and partial)"	"2024"	"Not Stated"	"NS"	0	0.0%
	"Idaho"	"16"	"Jefferson County, ID"	"16051"	"2018"	"2018"	"< 1 year"	"1"	Suppressed	Suppressed
	"Idaho"	"16"	"Jefferson County, ID"	"16051"	"2018"	"2018"	"1-4 years"	"1-4"	0	0.0%
	"Idaho"	"16"	"Jefferson County, ID"	"16051"	"2018"	"2018"	"5-14 years"	"5-14"	0	0.0%
	"Idaho"	"16"	"Jefferson County, ID"	"16051"	"2018"	"2018"	"15-24 years"	"15-24"	Suppressed	Suppressed
	"Idaho"	"16"	"Jefferson County, ID"	"16051"	"2018"	"2018"	"25-34 years"	"25-34"	Suppressed	Suppressed
	"Idaho"	"16"	"Jefferson County, ID"	"16051"	"2018"	"2018"	"35-44 years"	"35-44"	10	0.0%
	"Idaho"	"16"	"Jefferson County, ID"	"16051"	"2018"	"2018"	"45-54 years"	"45-54"	10	0.0%
	"Idaho"	"16"	"Jefferson County, ID"	"16051"	"2018"	"2018"	"55-64 years"	"55-64"	21	0.0%
	"Idaho"	"16"	"Jefferson County, ID"	"16051"	"2018"	"2018"	"65-74 years"	"65-74"	36	0.0%
	"Idaho"	"16"	"Jefferson County, ID"	"16051"	"2018"	"2018"	"75-84 years"	"75-84"	42	0.0%
	"Idaho"	"16"	"Jefferson County, ID"	"16051"	"2018"	"2018"	"85+ years"	"85+"	54	0.1%
	"Idaho"	"16"	"Jefferson County, ID"	"16051"	"2018"	"2018"	"Not Stated"	"NS"	0	0.0%
	"Idaho"	"16"	"Jefferson County, ID"	"16051"	"2019"	"2019"	"< 1 year"	"1"	Suppressed	Suppressed
	"Idaho"	"16"	"Jefferson County, ID"	"16051"	"2019"	"2019"	"1-4 years"	"1-4"	0	0.0%
	"Idaho"	"16"	"Jefferson County, ID"	"16051"	"2019"	"2019"	"5-14 years"	"5-14"	Suppressed	Suppressed
	"Idaho"	"16"	"Jefferson County, ID"	"16051"	"2019"	"2019"	"15-24 years"	"15-24"	Suppressed	Suppressed
	"Idaho"	"16"	"Jefferson County, ID"	"16051"	"2019"	"2019"	"25-34 years"	"25-34"	Suppressed	Suppressed
	"Idaho"	"16"	"Jefferson County, ID"	"16051"	"2019"	"2019"	"35-44 years"	"35-44"	Suppressed	Suppressed
	"Idaho"	"16"	"Jefferson County, ID"	"16051"	"2019"	"2019"	"45-54 years"	"45-54"	11	0.0%
	"Idaho"	"16"	"Jefferson County, ID"	"16051"	"2019"	"2019"	"55-64 years"	"55-64"	21	0.0%
	"Idaho"	"16"	"Jefferson County, ID"	"16051"	"2019"	"2019"	"65-74 years"	"65-74"	25	0.0%
	"Idaho"	"16"	"Jefferson County, ID"	"16051"	"2019"	"2019"	"75-84 years"	"75-84"	41	0.0%
	"Idaho"	"16"	"Jefferson County, ID"	"16051"	"2019"	"2019"	"85+ years"	"85+"	50	0.0%
	"Idaho"	"16"	"Jefferson County, ID"	"16051"	"2019"	"2019"	"Not Stated"	"NS"	0	0.0%
	"Idaho"	"16"	"Jefferson County, ID"	"16051"	"2020"	"2020"	"< 1 year"	"1"	Suppressed	Suppressed
	"Idaho"	"16"	"Jefferson County, ID"	"16051"	"2020"	"2020"	"1-4 years"	"1-4"	Suppressed	Suppressed
	"Idaho"	"16"	"Jefferson County, ID"	"16051"	"2020"	"2020"	"5-14 years"	"5-14"	Suppressed	Suppressed
	"Idaho"	"16"	"Jefferson County, ID"	"16051"	"2020"	"2020"	"15-24 years"	"15-24"	Suppressed	Suppressed
	"Idaho"	"16"	"Jefferson County, ID"	"16051"	"2020"	"2020"	"25-34 years"	"25-34"	0	0.0%
	"Idaho"	"16"	"Jefferson County, ID"	"16051"	"2020"	"2020"	"35-44 years"	"35-44"	Suppressed	Suppressed
	"Idaho"	"16"	"Jefferson County, ID"	"16051"	"2020"	"2020"	"45-54 years"	"45-54"	18	0.0%
	"Idaho"	"16"	"Jefferson County, ID"	"16051"	"2020"	"2020"	"55-64 years"	"55-64"	28	0.0%
	"Idaho"	"16"	"Jefferson County, ID"	"16051"	"2020"	"2020"	"65-74 years"	"65-74"	38	0.0%
	"Idaho"	"16"	"Jefferson County, ID"	"16051"	"2020"	"2020"	"75-84 years"	"75-84"	50	0.0%
	"Idaho"	"16"	"Jefferson County, ID"	"16051"	"2020"	"2020"	"85+ years"	"85+"	51	0.0%
	"Idaho"	"16"	"Jefferson County, ID"	"16051"	"2020"	"2020"	"Not Stated"	"NS"	0	0.0%
	"Idaho"	"16"	"Jefferson County, ID"	"16051"	"2021"	"2021"	"< 1 year"	"1"	Suppressed	Suppressed
	"Idaho"	"16"	"Jefferson County, ID"	"16051"	"2021"	"2021"	"1-4 years"	"1-4"	Suppressed	Suppressed
	"Idaho"	"16"	"Jefferson County, ID"	"16051"	"2021"	"2021"	"5-14 years"	"5-14"	0	0.0%
	"Idaho"	"16"	"Jefferson County, ID"	"16051"	"2021"	"2021"	"15-24 years"	"15-24"	Suppressed	Suppressed
	"Idaho"	"16"	"Jefferson County, ID"	"16051"	"2021"	"2021"	"25-34 years"	"25-34"	11	0.0%
	"Idaho"	"16"	"Jefferson County, ID"	"16051"	"2021"	"2021"	"35-44 years"	"35-44"	Suppressed	Suppressed
	"Idaho"	"16"	"Jefferson County, ID"	"16051"	"2021"	"2021"	"45-54 years"	"45-54"	18	0.0%
	"Idaho"	"16"	"Jefferson County, ID"	"16051"	"2021"	"2021"	"55-64 years"	"55-64"	36	0.0%
	"Idaho"	"16"	"Jefferson County, ID"	"16051"	"2021"	"2021"	"65-74 years"	"65-74"	43	0.0%
	"Idaho"	"16"	"Jefferson County, ID"	"16051"	"2021"	"2021"	"75-84 years"	"75-84"	61	0.1%
	"Idaho"	"16"	"Jefferson County, ID"	"16051"	"2021"	"2021"	"85+ years"	"85+"	64	0.1%
	"Idaho"	"16"	"Jefferson County, ID"	"16051"	"2021"	"2021"	"Not Stated"	"NS"	0	0.0%
	"Idaho"	"16"	"Jefferson County, ID"	"16051"	"2022"	"2022"	"< 1 year"	"1"	Suppressed	Suppressed
	"Idaho"	"16"	"Jefferson County, ID"	"16051"	"2022"	"2022"	"1-4 years"	"1-4"	Suppressed	Suppressed
	"Idaho"	"16"	"Jefferson County, ID"	"16051"	"2022"	"2022"	"5-14 years"	"5-14"	0	0.0%
	"Idaho"	"16"	"Jefferson County, ID"	"16051"	"2022"	"2022"	"15-24 years"	"15-24"	Suppressed	Suppressed
	"Idaho"	"16"	"Jefferson County, ID"	"16051"	"2022"	"2022"	"25-34 years"	"25-34"	Suppressed	Suppressed
	"Idaho"	"16"	"Jefferson County, ID"	"16051"	"2022"	"2022"	"35-44 years"	"35-44"	Suppressed	Suppressed
	"Idaho"	"16"	"Jefferson County, ID"	"16051"	"2022"	"2022"	"45-54 years"	"45-54"	12	0.0%
	"Idaho"	"16"	"Jefferson County, ID"	"16051"	"2022"	"2022"	"55-64 years"	"55-64"	33	0.0%
	"Idaho"	"16"	"Jefferson County, ID"	"16051"	"2022"	"2022"	"65-74 years"	"65-74"	59	0.1%
	"Idaho"	"16"	"Jefferson County, ID"	"16051"	"2022"	"2022"	"75-84 years"	"75-84"	51	0.0%
	"Idaho"	"16"	"Jefferson County, ID"	"16051"	"2022"	"2022"	"85+ years"	"85+"	55	0.1%
	"Idaho"	"16"	"Jefferson County, ID"	"16051"	"2022"	"2022"	"Not Stated"	"NS"	0	0.0%
	"Idaho"	"16"	"Jefferson County, ID"	"16051"	"2023 (provisional)"	"2023"	"< 1 year"	"1"	Suppressed	Suppressed
	"Idaho"	"16"	"Jefferson County, ID"	"16051"	"2023 (provisional)"	"2023"	"1-4 years"	"1-4"	Suppressed	Suppressed
	"Idaho"	"16"	"Jefferson County, ID"	"16051"	"2023 (provisional)"	"2023"	"5-14 years"	"5-14"	0	0.0%
	"Idaho"	"16"	"Jefferson County, ID"	"16051"	"2023 (provisional)"	"2023"	"15-24 years"	"15-24"	Suppressed	Suppressed
	"Idaho"	"16"	"Jefferson County, ID"	"16051"	"2023 (provisional)"	"2023"	"25-34 years"	"25-34"	Suppressed	Suppressed
	"Idaho"	"16"	"Jefferson County, ID"	"16051"	"2023 (provisional)"	"2023"	"35-44 years"	"35-44"	Suppressed	Suppressed
	"Idaho"	"16"	"Jefferson County, ID"	"16051"	"2023 (provisional)"	"2023"	"45-54 years"	"45-54"	Suppressed	Suppressed
	"Idaho"	"16"	"Jefferson County, ID"	"16051"	"2023 (provisional)"	"2023"	"55-64 years"	"55-64"	20	0.0%
	"Idaho"	"16"	"Jefferson County, ID"	"16051"	"2023 (provisional)"	"2023"	"65-74 years"	"65-74"	44	0.0%
	"Idaho"	"16"	"Jefferson County, ID"	"16051"	"2023 (provisional)"	"2023"	"75-84 years"	"75-84"	63	0.1%
	"Idaho"	"16"	"Jefferson County, ID"	"16051"	"2023 (provisional)"	"2023"	"85+ years"	"85+"	47	0.0%
	"Idaho"	"16"	"Jefferson County, ID"	"16051"	"2023 (provisional)"	"2023"	"Not Stated"	"NS"	0	0.0%
	"Idaho"	"16"	"Jefferson County, ID"	"16051"	"2024 (provisional and partial)"	"2024"	"< 1 year"	"1"	0	0.0%
	"Idaho"	"16"	"Jefferson County, ID"	"16051"	"2024 (provisional and partial)"	"2024"	"1-4 years"	"1-4"	0	0.0%
	"Idaho"	"16"	"Jefferson County, ID"	"16051"	"2024 (provisional and partial)"	"2024"	"5-14 years"	"5-14"	0	0.0%
	"Idaho"	"16"	"Jefferson County, ID"	"16051"	"2024 (provisional and partial)"	"2024"	"15-24 years"	"15-24"	Suppressed	Suppressed
	"Idaho"	"16"	"Jefferson County, ID"	"16051"	"2024 (provisional and partial)"	"2024"	"25-34 years"	"25-34"	Suppressed	Suppressed
	"Idaho"	"16"	"Jefferson County, ID"	"16051"	"2024 (provisional and partial)"	"2024"	"35-44 years"	"35-44"	Suppressed	Suppressed
	"Idaho"	"16"	"Jefferson County, ID"	"16051"	"2024 (provisional and partial)"	"2024"	"45-54 years"	"45-54"	Suppressed	Suppressed
	"Idaho"	"16"	"Jefferson County, ID"	"16051"	"2024 (provisional and partial)"	"2024"	"55-64 years"	"55-64"	15	0.0%
	"Idaho"	"16"	"Jefferson County, ID"	"16051"	"2024 (provisional and partial)"	"2024"	"65-74 years"	"65-74"	35	0.0%
	"Idaho"	"16"	"Jefferson County, ID"	"16051"	"2024 (provisional and partial)"	"2024"	"75-84 years"	"75-84"	35	0.0%
	"Idaho"	"16"	"Jefferson County, ID"	"16051"	"2024 (provisional and partial)"	"2024"	"85+ years"	"85+"	35	0.0%
	"Idaho"	"16"	"Jefferson County, ID"	"16051"	"2024 (provisional and partial)"	"2024"	"Not Stated"	"NS"	0	0.0%
	"Idaho"	"16"	"Jerome County, ID"	"16053"	"2018"	"2018"	"< 1 year"	"1"	Suppressed	Suppressed
	"Idaho"	"16"	"Jerome County, ID"	"16053"	"2018"	"2018"	"1-4 years"	"1-4"	Suppressed	Suppressed
	"Idaho"	"16"	"Jerome County, ID"	"16053"	"2018"	"2018"	"5-14 years"	"5-14"	0	0.0%
	"Idaho"	"16"	"Jerome County, ID"	"16053"	"2018"	"2018"	"15-24 years"	"15-24"	Suppressed	Suppressed
	"Idaho"	"16"	"Jerome County, ID"	"16053"	"2018"	"2018"	"25-34 years"	"25-34"	Suppressed	Suppressed
	"Idaho"	"16"	"Jerome County, ID"	"16053"	"2018"	"2018"	"35-44 years"	"35-44"	Suppressed	Suppressed
