"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error	% of Total Deaths
	"Idaho"	"16"	"2017"	"2017"	"5-9 years"	"5-9"	14	122937	Unreliable	6.2	19.1	3.0	0.0%
	"Idaho"	"16"	"2017"	"2017"	"10-14 years"	"10-14"	29	128315	22.6	15.1	32.5	4.2	0.0%
	"Idaho"	"16"	"2017"	"2017"	"15-19 years"	"15-19"	70	121560	57.6	44.9	72.8	6.9	0.0%
	"Idaho"	"16"	"2017"	"2017"	"20-24 years"	"20-24"	91	112737	80.7	65.0	99.1	8.5	0.0%
	"Idaho"	"16"	"2017"	"2017"	"25-29 years"	"25-29"	131	115400	113.5	94.1	133.0	9.9	0.1%
	"Idaho"	"16"	"2017"	"2017"	"30-34 years"	"30-34"	144	110319	130.5	109.2	151.9	10.9	0.1%
	"Idaho"	"16"	"2017"	"2017"	"35-39 years"	"35-39"	180	112256	160.3	136.9	183.8	12.0	0.1%
	"Idaho"	"16"	"2017"	"2017"	"40-44 years"	"40-44"	184	100362	183.3	156.8	209.8	13.5	0.1%
	"Idaho"	"16"	"2017"	"2017"	"45-49 years"	"45-49"	277	100265	276.3	243.7	308.8	16.6	0.1%
	"Idaho"	"16"	"2017"	"2017"	"50-54 years"	"50-54"	412	99107	415.7	375.6	455.9	20.5	0.2%
	"Idaho"	"16"	"2017"	"2017"	"55-59 years"	"55-59"	692	107906	641.3	593.5	689.1	24.4	0.3%
	"Idaho"	"16"	"2017"	"2017"	"60-64 years "	"60-64"	980	103841	943.8	884.7	1002.8	30.1	0.4%
	"Idaho"	"16"	"2017"	"2017"	"65-69 years"	"65-69"	1227	91313	1343.7	1268.5	1418.9	38.4	0.5%
	"Idaho"	"16"	"2017"	"2017"	"70-74 years"	"70-74"	1456	69539	2093.8	1986.2	2201.3	54.9	0.6%
	"Idaho"	"16"	"2017"	"2017"	"75-79 years"	"75-79"	1706	46115	3699.4	3523.9	3875.0	89.6	0.7%
	"Idaho"	"16"	"2017"	"2017"	"80-84 years"	"80-84"	1855	29327	6325.2	6037.4	6613.1	146.9	0.7%
	"Idaho"	"16"	"2017"	"2017"	"85-89 years"	"85-89"	2019	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.8%
	"Idaho"	"16"	"2017"	"2017"	"90-94 years"	"90-94"	1608	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.6%
	"Idaho"	"16"	"2017"	"2017"	"95-99 years"	"95-99"	688	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.3%
	"Idaho"	"16"	"2017"	"2017"	"100+ years"	"100+"	121	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"2017"	"2017"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"2018"	"2018"	"< 1 year"	"1"	109	22348	487.7	396.2	579.3	46.7	0.0%
	"Idaho"	"16"	"2018"	"2018"	"1-4 years"	"1-4"	15	93991	Unreliable	8.9	26.3	4.1	0.0%
	"Idaho"	"16"	"2018"	"2018"	"5-9 years"	"5-9"	11	122965	Unreliable	4.5	16.0	2.7	0.0%
	"Idaho"	"16"	"2018"	"2018"	"10-14 years"	"10-14"	26	131036	19.8	13.0	29.1	3.9	0.0%
	"Idaho"	"16"	"2018"	"2018"	"15-19 years"	"15-19"	87	124506	69.9	56.0	86.2	7.5	0.0%
	"Idaho"	"16"	"2018"	"2018"	"20-24 years"	"20-24"	144	114894	125.3	104.9	145.8	10.4	0.1%
	"Idaho"	"16"	"2018"	"2018"	"25-29 years"	"25-29"	122	119176	102.4	84.2	120.5	9.3	0.0%
	"Idaho"	"16"	"2018"	"2018"	"30-34 years"	"30-34"	118	112206	105.2	86.2	124.1	9.7	0.0%
	"Idaho"	"16"	"2018"	"2018"	"35-39 years"	"35-39"	186	115383	161.2	138.0	184.4	11.8	0.1%
	"Idaho"	"16"	"2018"	"2018"	"40-44 years"	"40-44"	186	104646	177.7	152.2	203.3	13.0	0.1%
	"Idaho"	"16"	"2018"	"2018"	"45-49 years"	"45-49"	285	101672	280.3	247.8	312.9	16.6	0.1%
	"Idaho"	"16"	"2018"	"2018"	"50-54 years"	"50-54"	453	98253	461.1	418.6	503.5	21.7	0.2%
	"Idaho"	"16"	"2018"	"2018"	"55-59 years"	"55-59"	641	108608	590.2	544.5	635.9	23.3	0.2%
	"Idaho"	"16"	"2018"	"2018"	"60-64 years "	"60-64"	1026	106242	965.7	906.6	1024.8	30.1	0.4%
	"Idaho"	"16"	"2018"	"2018"	"65-69 years"	"65-69"	1327	94545	1403.6	1328.0	1479.1	38.5	0.5%
	"Idaho"	"16"	"2018"	"2018"	"70-74 years"	"70-74"	1490	73696	2021.8	1919.2	2124.5	52.4	0.6%
	"Idaho"	"16"	"2018"	"2018"	"75-79 years"	"75-79"	1705	50168	3398.6	3237.3	3559.9	82.3	0.7%
	"Idaho"	"16"	"2018"	"2018"	"80-84 years"	"80-84"	1833	30454	6018.9	5743.4	6294.5	140.6	0.7%
	"Idaho"	"16"	"2018"	"2018"	"85-89 years"	"85-89"	1970	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.8%
	"Idaho"	"16"	"2018"	"2018"	"90-94 years"	"90-94"	1646	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.6%
	"Idaho"	"16"	"2018"	"2018"	"95-99 years"	"95-99"	736	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.3%
	"Idaho"	"16"	"2018"	"2018"	"100+ years"	"100+"	145	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.1%
	"Idaho"	"16"	"2018"	"2018"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"2019"	"2019"	"< 1 year"	"1"	97	22106	438.8	355.8	535.3	44.6	0.0%
	"Idaho"	"16"	"2019"	"2019"	"1-4 years"	"1-4"	21	94094	22.3	13.8	34.1	4.9	0.0%
	"Idaho"	"16"	"2019"	"2019"	"5-9 years"	"5-9"	33	123317	26.8	18.4	37.6	4.7	0.0%
	"Idaho"	"16"	"2019"	"2019"	"10-14 years"	"10-14"	26	131471	19.8	12.9	29.0	3.9	0.0%
	"Idaho"	"16"	"2019"	"2019"	"15-19 years"	"15-19"	58	125185	46.3	35.2	59.9	6.1	0.0%
	"Idaho"	"16"	"2019"	"2019"	"20-24 years"	"20-24"	108	116434	92.8	75.3	110.3	8.9	0.0%
	"Idaho"	"16"	"2019"	"2019"	"25-29 years"	"25-29"	109	121631	89.6	72.8	106.4	8.6	0.0%
	"Idaho"	"16"	"2019"	"2019"	"30-34 years"	"30-34"	117	114859	101.9	83.4	120.3	9.4	0.0%
	"Idaho"	"16"	"2019"	"2019"	"35-39 years"	"35-39"	170	118233	143.8	122.2	165.4	11.0	0.1%
	"Idaho"	"16"	"2019"	"2019"	"40-44 years"	"40-44"	202	108939	185.4	159.9	211.0	13.0	0.1%
	"Idaho"	"16"	"2019"	"2019"	"45-49 years"	"45-49"	273	102792	265.6	234.1	297.1	16.1	0.1%
	"Idaho"	"16"	"2019"	"2019"	"50-54 years"	"50-54"	392	98974	396.1	356.9	435.3	20.0	0.2%
	"Idaho"	"16"	"2019"	"2019"	"55-59 years"	"55-59"	676	109541	617.1	570.6	663.6	23.7	0.3%
	"Idaho"	"16"	"2019"	"2019"	"60-64 years "	"60-64"	972	108819	893.2	837.1	949.4	28.7	0.4%
	"Idaho"	"16"	"2019"	"2019"	"65-69 years"	"65-69"	1228	97884	1254.5	1184.4	1324.7	35.8	0.5%
	"Idaho"	"16"	"2019"	"2019"	"70-74 years"	"70-74"	1547	77982	1983.8	1884.9	2082.6	50.4	0.6%
	"Idaho"	"16"	"2019"	"2019"	"75-79 years"	"75-79"	1881	52941	3553.0	3392.4	3713.6	81.9	0.7%
	"Idaho"	"16"	"2019"	"2019"	"80-84 years"	"80-84"	2009	32089	6260.7	5986.9	6534.5	139.7	0.8%
	"Idaho"	"16"	"2019"	"2019"	"85-89 years"	"85-89"	2027	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.8%
	"Idaho"	"16"	"2019"	"2019"	"90-94 years"	"90-94"	1586	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.6%
	"Idaho"	"16"	"2019"	"2019"	"95-99 years"	"95-99"	757	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.3%
	"Idaho"	"16"	"2019"	"2019"	"100+ years"	"100+"	141	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.1%
	"Idaho"	"16"	"2019"	"2019"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"2020 "	"2020"	"< 1 year"	"1"	109	21547	505.9	410.9	600.8	48.5	0.0%
	"Idaho"	"16"	"2020 "	"2020"	"1-4 years"	"1-4"	19	92301	Unreliable	12.4	32.1	4.7	0.0%
	"Idaho"	"16"	"2020 "	"2020"	"5-9 years"	"5-9"	14	125055	Unreliable	6.1	18.8	3.0	0.0%
	"Idaho"	"16"	"2020 "	"2020"	"10-14 years"	"10-14"	22	132772	16.6	10.4	25.1	3.5	0.0%
	"Idaho"	"16"	"2020 "	"2020"	"15-19 years"	"15-19"	87	127139	68.4	54.8	84.4	7.3	0.0%
	"Idaho"	"16"	"2020 "	"2020"	"20-24 years"	"20-24"	110	119974	91.7	74.6	108.8	8.7	0.0%
	"Idaho"	"16"	"2020 "	"2020"	"25-29 years"	"25-29"	127	122723	103.5	85.5	121.5	9.2	0.0%
	"Idaho"	"16"	"2020 "	"2020"	"30-34 years"	"30-34"	165	118855	138.8	117.6	160.0	10.8	0.1%
	"Idaho"	"16"	"2020 "	"2020"	"35-39 years"	"35-39"	219	120252	182.1	158.0	206.2	12.3	0.1%
	"Idaho"	"16"	"2020 "	"2020"	"40-44 years"	"40-44"	237	113978	207.9	181.5	234.4	13.5	0.1%
	"Idaho"	"16"	"2020 "	"2020"	"45-49 years"	"45-49"	325	104222	311.8	277.9	345.7	17.3	0.1%
	"Idaho"	"16"	"2020 "	"2020"	"50-54 years"	"50-54"	447	101277	441.4	400.4	482.3	20.9	0.2%
	"Idaho"	"16"	"2020 "	"2020"	"55-59 years"	"55-59"	747	109050	685.0	635.9	734.1	25.1	0.3%
	"Idaho"	"16"	"2020 "	"2020"	"60-64 years "	"60-64"	1121	111774	1002.9	944.2	1061.6	30.0	0.4%
	"Idaho"	"16"	"2020 "	"2020"	"65-69 years"	"65-69"	1355	102392	1323.3	1252.9	1393.8	36.0	0.5%
	"Idaho"	"16"	"2020 "	"2020"	"70-74 years"	"70-74"	1895	83550	2268.1	2166.0	2370.2	52.1	0.7%
	"Idaho"	"16"	"2020 "	"2020"	"75-79 years"	"75-79"	2110	55797	3781.6	3620.2	3942.9	82.3	0.8%
	"Idaho"	"16"	"2020 "	"2020"	"80-84 years"	"80-84"	2270	33841	6707.8	6431.9	6983.8	140.8	0.9%
	"Idaho"	"16"	"2020 "	"2020"	"85-89 years"	"85-89"	2230	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.9%
	"Idaho"	"16"	"2020 "	"2020"	"90-94 years"	"90-94"	1799	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.7%
	"Idaho"	"16"	"2020 "	"2020"	"95-99 years"	"95-99"	831	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.3%
	"Idaho"	"16"	"2020 "	"2020"	"100+ years"	"100+"	163	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.1%
	"Idaho"	"16"	"2020 "	"2020"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
"---"
"Dataset: Multiple Cause of Death, 1999-2020"
"Query Parameters:"
"Title: Final mortality 1999-2020 by five year age groups"
"States: Idaho (16)"
"Group By: State; Year; Five-Year Age Groups"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/mcd.html for more information."
"---"
"Query Date: Aug 12, 2024 12:23:01 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Mortality 1999-2020 on CDC WONDER Online Database, released in 2021. Data are from the Multiple Cause of Death Files,"
"1999-2020, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative"
"Program. Accessed at http://wonder.cdc.gov/mcd-icd10.html on Aug 12, 2024 12:23:01 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. Population and rates are labeled 'Not Applicable' when they include a subset of ages 85-100+ because populations are not"
"available for those ages. More information: http://wonder.cdc.gov/wonder/help/mcd.html#Ages 85-100."
"2. As of April 3, 2017, the underlying cause of death has been revised for 125 deaths in 2014. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#2014-Revision."
"3. Data are Suppressed when the data meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#Assurance of Confidentiality."
"4. Death rates are flagged as Unreliable when the rate is calculated with a numerator of 20 or less. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#Unreliable."
"5. Deaths of persons with Age ""Not Stated"" are included in ""All"" counts and rates, but are not distributed among age groups,"
"so are not included in age-specific counts, age-specific rates or in any age-adjusted rates. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#Not Stated."
"6. The method used to calculate 95% confidence intervals is documented here: More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#Confidence-Intervals."
"7. The method used to calculate standard errors is documented here: More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#Standard-Errors."
"8. The population figures for year 2020 are bridged-race estimates of the July 1 resident population, from the Vintage 2020"
"postcensal series released by NCHS on September 22, 2021. The population figures for year 2019 are bridged-race estimates of the"
"July 1 resident population, from the Vintage 2019 postcensal series released by NCHS on July 9, 2020. The population figures for"
"year 2018 are bridged-race estimates of the July 1 resident population, from the Vintage 2018 postcensal series released by NCHS"
"on June 25, 2019. The population figures for year 2017 are bridged-race estimates of the July 1 resident population, from the"
"Vintage 2017 postcensal series released by NCHS on June 27, 2018. The population figures for year 2016 are bridged-race"
"estimates of the July 1 resident population, from the Vintage 2016 postcensal series released by NCHS on June 26, 2017. The"
"population figures for year 2015 are bridged-race estimates of the July 1 resident population, from the Vintage 2015 postcensal"
"series released by NCHS on June 28, 2016. The population figures for year 2014 are bridged-race estimates of the July 1 resident"
"population, from the Vintage 2014 postcensal series released by NCHS on June 30, 2015. The population figures for year 2013 are"
"bridged-race estimates of the July 1 resident population, from the Vintage 2013 postcensal series released by NCHS on June 26,"
"2014. The population figures for year 2012 are bridged-race estimates of the July 1 resident population, from the Vintage 2012"
"postcensal series released by NCHS on June 13, 2013. Population figures for 2011 are bridged-race estimates of the July 1"
"resident population, from the county-level postcensal Vintage 2011 series released by NCHS on July 18, 2012. Population figures"
"for 2010 are April 1 Census counts. The population figures for years 2001 - 2009, are bridged-race estimates of the July 1"
"resident population, from the revised intercensal county-level 2000 - 2009 series released by NCHS on October 26, 2012."
"Population figures for 2000 are April 1 Census counts. Population figures for 1999 are from the 1990-1999 intercensal series of"
"July 1 estimates. Population figures for Infant Age Groups are the number of live births. <br/><b>Note:</b> Rates and population"
"figures for years 2001 - 2009 differ slightly from previously published reports, due to use of the population estimates which"
"were available at the time of release."
"9. The population figures used in the calculation of death rates for the age group 'under 1 year' are the estimates of the"
"resident population that is under one year of age. More information: http://wonder.cdc.gov/wonder/help/mcd.html#Age Group."
