"Notes"	"Residence State"	"Residence State Code"	"Residence County"	"Residence County Code"	"Year"	"Year Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error	% of Total Deaths
	"Idaho"	"16"	"Franklin County, ID"	"16041"	"2021"	"2021"	"15-19 years"	"15-19"	0	1330	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Franklin County, ID"	"16041"	"2021"	"2021"	"20-24 years"	"20-24"	0	884	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Franklin County, ID"	"16041"	"2021"	"2021"	"25-29 years"	"25-29"	Suppressed	827	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Franklin County, ID"	"16041"	"2021"	"2021"	"30-34 years"	"30-34"	0	797	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Franklin County, ID"	"16041"	"2021"	"2021"	"35-39 years"	"35-39"	Suppressed	828	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Franklin County, ID"	"16041"	"2021"	"2021"	"40-44 years"	"40-44"	Suppressed	1013	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Franklin County, ID"	"16041"	"2021"	"2021"	"45-49 years"	"45-49"	Suppressed	869	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Franklin County, ID"	"16041"	"2021"	"2021"	"50-54 years"	"50-54"	0	751	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Franklin County, ID"	"16041"	"2021"	"2021"	"55-59 years"	"55-59"	Suppressed	775	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Franklin County, ID"	"16041"	"2021"	"2021"	"60-64 years "	"60-64"	16	830	Unreliable	1101.9	3130.5	481.9	0.0%
	"Idaho"	"16"	"Franklin County, ID"	"16041"	"2021"	"2021"	"65-69 years"	"65-69"	11	731	Unreliable	751.2	2692.5	453.7	0.0%
	"Idaho"	"16"	"Franklin County, ID"	"16041"	"2021"	"2021"	"70-74 years"	"70-74"	23	553	4159.1	2636.5	6240.7	867.2	0.0%
	"Idaho"	"16"	"Franklin County, ID"	"16041"	"2021"	"2021"	"75-79 years"	"75-79"	12	393	Unreliable	1577.7	5333.7	881.5	0.0%
	"Idaho"	"16"	"Franklin County, ID"	"16041"	"2021"	"2021"	"80-84 years"	"80-84"	21	247	8502.0	5262.9	12996.3	1855.3	0.0%
	"Idaho"	"16"	"Franklin County, ID"	"16041"	"2021"	"2021"	"85-89 years"	"85-89"	21	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Franklin County, ID"	"16041"	"2021"	"2021"	"90-94 years"	"90-94"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Suppressed
	"Idaho"	"16"	"Franklin County, ID"	"16041"	"2021"	"2021"	"95-99 years"	"95-99"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Suppressed
	"Idaho"	"16"	"Franklin County, ID"	"16041"	"2021"	"2021"	"100+ years"	"100+"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Suppressed
	"Idaho"	"16"	"Franklin County, ID"	"16041"	"2021"	"2021"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Franklin County, ID"	"16041"	"2022"	"2022"	"< 1 year"	"1"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Suppressed
	"Idaho"	"16"	"Franklin County, ID"	"16041"	"2022"	"2022"	"1-4 years"	"1-4"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Franklin County, ID"	"16041"	"2022"	"2022"	"5-9 years"	"5-9"	0	1194	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Franklin County, ID"	"16041"	"2022"	"2022"	"10-14 years"	"10-14"	0	1374	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Franklin County, ID"	"16041"	"2022"	"2022"	"15-19 years"	"15-19"	0	1300	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Franklin County, ID"	"16041"	"2022"	"2022"	"20-24 years"	"20-24"	0	995	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Franklin County, ID"	"16041"	"2022"	"2022"	"25-29 years"	"25-29"	0	885	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Franklin County, ID"	"16041"	"2022"	"2022"	"30-34 years"	"30-34"	Suppressed	874	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Franklin County, ID"	"16041"	"2022"	"2022"	"35-39 years"	"35-39"	Suppressed	858	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Franklin County, ID"	"16041"	"2022"	"2022"	"40-44 years"	"40-44"	Suppressed	1008	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Franklin County, ID"	"16041"	"2022"	"2022"	"45-49 years"	"45-49"	Suppressed	960	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Franklin County, ID"	"16041"	"2022"	"2022"	"50-54 years"	"50-54"	Suppressed	775	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Franklin County, ID"	"16041"	"2022"	"2022"	"55-59 years"	"55-59"	Suppressed	709	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Franklin County, ID"	"16041"	"2022"	"2022"	"60-64 years "	"60-64"	Suppressed	871	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Franklin County, ID"	"16041"	"2022"	"2022"	"65-69 years"	"65-69"	14	748	Unreliable	1023.3	3140.3	500.2	0.0%
	"Idaho"	"16"	"Franklin County, ID"	"16041"	"2022"	"2022"	"70-74 years"	"70-74"	18	579	Unreliable	1842.5	4913.3	732.8	0.0%
	"Idaho"	"16"	"Franklin County, ID"	"16041"	"2022"	"2022"	"75-79 years"	"75-79"	15	414	Unreliable	2027.9	5975.9	935.5	0.0%
	"Idaho"	"16"	"Franklin County, ID"	"16041"	"2022"	"2022"	"80-84 years"	"80-84"	20	264	7575.8	4627.5	11700.2	1694.0	0.0%
	"Idaho"	"16"	"Franklin County, ID"	"16041"	"2022"	"2022"	"85-89 years"	"85-89"	17	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Franklin County, ID"	"16041"	"2022"	"2022"	"90-94 years"	"90-94"	12	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Franklin County, ID"	"16041"	"2022"	"2022"	"95-99 years"	"95-99"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Suppressed
	"Idaho"	"16"	"Franklin County, ID"	"16041"	"2022"	"2022"	"100+ years"	"100+"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Franklin County, ID"	"16041"	"2022"	"2022"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Franklin County, ID"	"16041"	"2023 (provisional)"	"2023"	"< 1 year"	"1"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Suppressed
	"Idaho"	"16"	"Franklin County, ID"	"16041"	"2023 (provisional)"	"2023"	"1-4 years"	"1-4"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Suppressed
	"Idaho"	"16"	"Franklin County, ID"	"16041"	"2023 (provisional)"	"2023"	"5-9 years"	"5-9"	Suppressed	1194	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Franklin County, ID"	"16041"	"2023 (provisional)"	"2023"	"10-14 years"	"10-14"	0	1374	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Franklin County, ID"	"16041"	"2023 (provisional)"	"2023"	"15-19 years"	"15-19"	Suppressed	1300	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Franklin County, ID"	"16041"	"2023 (provisional)"	"2023"	"20-24 years"	"20-24"	0	995	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Franklin County, ID"	"16041"	"2023 (provisional)"	"2023"	"25-29 years"	"25-29"	0	885	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Franklin County, ID"	"16041"	"2023 (provisional)"	"2023"	"30-34 years"	"30-34"	0	874	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Franklin County, ID"	"16041"	"2023 (provisional)"	"2023"	"35-39 years"	"35-39"	Suppressed	858	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Franklin County, ID"	"16041"	"2023 (provisional)"	"2023"	"40-44 years"	"40-44"	Suppressed	1008	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Franklin County, ID"	"16041"	"2023 (provisional)"	"2023"	"45-49 years"	"45-49"	Suppressed	960	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Franklin County, ID"	"16041"	"2023 (provisional)"	"2023"	"50-54 years"	"50-54"	Suppressed	775	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Franklin County, ID"	"16041"	"2023 (provisional)"	"2023"	"55-59 years"	"55-59"	Suppressed	709	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Franklin County, ID"	"16041"	"2023 (provisional)"	"2023"	"60-64 years "	"60-64"	Suppressed	871	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Franklin County, ID"	"16041"	"2023 (provisional)"	"2023"	"65-69 years"	"65-69"	Suppressed	748	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Franklin County, ID"	"16041"	"2023 (provisional)"	"2023"	"70-74 years"	"70-74"	13	579	Unreliable	1195.5	3839.4	622.7	0.0%
	"Idaho"	"16"	"Franklin County, ID"	"16041"	"2023 (provisional)"	"2023"	"75-79 years"	"75-79"	16	414	Unreliable	2209.0	6276.1	966.2	0.0%
	"Idaho"	"16"	"Franklin County, ID"	"16041"	"2023 (provisional)"	"2023"	"80-84 years"	"80-84"	19	264	Unreliable	4333.1	11238.9	1651.1	0.0%
	"Idaho"	"16"	"Franklin County, ID"	"16041"	"2023 (provisional)"	"2023"	"85-89 years"	"85-89"	18	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Franklin County, ID"	"16041"	"2023 (provisional)"	"2023"	"90-94 years"	"90-94"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Suppressed
	"Idaho"	"16"	"Franklin County, ID"	"16041"	"2023 (provisional)"	"2023"	"95-99 years"	"95-99"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Suppressed
	"Idaho"	"16"	"Franklin County, ID"	"16041"	"2023 (provisional)"	"2023"	"100+ years"	"100+"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Suppressed
	"Idaho"	"16"	"Franklin County, ID"	"16041"	"2023 (provisional)"	"2023"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Franklin County, ID"	"16041"	"2024 (provisional and partial)"	"2024"	"< 1 year"	"1"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Franklin County, ID"	"16041"	"2024 (provisional and partial)"	"2024"	"1-4 years"	"1-4"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Franklin County, ID"	"16041"	"2024 (provisional and partial)"	"2024"	"5-9 years"	"5-9"	0	1194	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Franklin County, ID"	"16041"	"2024 (provisional and partial)"	"2024"	"10-14 years"	"10-14"	0	1374	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Franklin County, ID"	"16041"	"2024 (provisional and partial)"	"2024"	"15-19 years"	"15-19"	0	1300	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Franklin County, ID"	"16041"	"2024 (provisional and partial)"	"2024"	"20-24 years"	"20-24"	0	995	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Franklin County, ID"	"16041"	"2024 (provisional and partial)"	"2024"	"25-29 years"	"25-29"	0	885	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Franklin County, ID"	"16041"	"2024 (provisional and partial)"	"2024"	"30-34 years"	"30-34"	Suppressed	874	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Franklin County, ID"	"16041"	"2024 (provisional and partial)"	"2024"	"35-39 years"	"35-39"	Suppressed	858	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Franklin County, ID"	"16041"	"2024 (provisional and partial)"	"2024"	"40-44 years"	"40-44"	Suppressed	1008	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Franklin County, ID"	"16041"	"2024 (provisional and partial)"	"2024"	"45-49 years"	"45-49"	0	960	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Franklin County, ID"	"16041"	"2024 (provisional and partial)"	"2024"	"50-54 years"	"50-54"	0	775	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Franklin County, ID"	"16041"	"2024 (provisional and partial)"	"2024"	"55-59 years"	"55-59"	Suppressed	709	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Franklin County, ID"	"16041"	"2024 (provisional and partial)"	"2024"	"60-64 years "	"60-64"	Suppressed	871	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Franklin County, ID"	"16041"	"2024 (provisional and partial)"	"2024"	"65-69 years"	"65-69"	Suppressed	748	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Franklin County, ID"	"16041"	"2024 (provisional and partial)"	"2024"	"70-74 years"	"70-74"	Suppressed	579	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Franklin County, ID"	"16041"	"2024 (provisional and partial)"	"2024"	"75-79 years"	"75-79"	Suppressed	414	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Franklin County, ID"	"16041"	"2024 (provisional and partial)"	"2024"	"80-84 years"	"80-84"	12	264	Unreliable	2348.7	7940.0	1312.2	0.0%
	"Idaho"	"16"	"Franklin County, ID"	"16041"	"2024 (provisional and partial)"	"2024"	"85-89 years"	"85-89"	16	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Franklin County, ID"	"16041"	"2024 (provisional and partial)"	"2024"	"90-94 years"	"90-94"	11	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Franklin County, ID"	"16041"	"2024 (provisional and partial)"	"2024"	"95-99 years"	"95-99"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Suppressed
	"Idaho"	"16"	"Franklin County, ID"	"16041"	"2024 (provisional and partial)"	"2024"	"100+ years"	"100+"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Suppressed
	"Idaho"	"16"	"Franklin County, ID"	"16041"	"2024 (provisional and partial)"	"2024"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Fremont County, ID"	"16043"	"2018"	"2018"	"< 1 year"	"1"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Fremont County, ID"	"16043"	"2018"	"2018"	"1-4 years"	"1-4"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Fremont County, ID"	"16043"	"2018"	"2018"	"5-9 years"	"5-9"	0	824	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Fremont County, ID"	"16043"	"2018"	"2018"	"10-14 years"	"10-14"	0	1014	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Fremont County, ID"	"16043"	"2018"	"2018"	"15-19 years"	"15-19"	Suppressed	1052	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Fremont County, ID"	"16043"	"2018"	"2018"	"20-24 years"	"20-24"	0	832	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Fremont County, ID"	"16043"	"2018"	"2018"	"25-29 years"	"25-29"	Suppressed	780	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Fremont County, ID"	"16043"	"2018"	"2018"	"30-34 years"	"30-34"	0	725	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Fremont County, ID"	"16043"	"2018"	"2018"	"35-39 years"	"35-39"	0	823	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Fremont County, ID"	"16043"	"2018"	"2018"	"40-44 years"	"40-44"	0	831	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Fremont County, ID"	"16043"	"2018"	"2018"	"45-49 years"	"45-49"	Suppressed	732	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Fremont County, ID"	"16043"	"2018"	"2018"	"50-54 years"	"50-54"	Suppressed	744	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Fremont County, ID"	"16043"	"2018"	"2018"	"55-59 years"	"55-59"	Suppressed	842	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Fremont County, ID"	"16043"	"2018"	"2018"	"60-64 years "	"60-64"	Suppressed	889	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Fremont County, ID"	"16043"	"2018"	"2018"	"65-69 years"	"65-69"	Suppressed	709	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Fremont County, ID"	"16043"	"2018"	"2018"	"70-74 years"	"70-74"	12	565	Unreliable	1097.4	3710.0	613.1	0.0%
	"Idaho"	"16"	"Fremont County, ID"	"16043"	"2018"	"2018"	"75-79 years"	"75-79"	12	465	Unreliable	1333.4	4507.9	745.0	0.0%
	"Idaho"	"16"	"Fremont County, ID"	"16043"	"2018"	"2018"	"80-84 years"	"80-84"	Suppressed	254	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Fremont County, ID"	"16043"	"2018"	"2018"	"85-89 years"	"85-89"	22	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Fremont County, ID"	"16043"	"2018"	"2018"	"90-94 years"	"90-94"	17	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Fremont County, ID"	"16043"	"2018"	"2018"	"95-99 years"	"95-99"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Suppressed
	"Idaho"	"16"	"Fremont County, ID"	"16043"	"2018"	"2018"	"100+ years"	"100+"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Suppressed
	"Idaho"	"16"	"Fremont County, ID"	"16043"	"2018"	"2018"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Fremont County, ID"	"16043"	"2019"	"2019"	"< 1 year"	"1"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Suppressed
	"Idaho"	"16"	"Fremont County, ID"	"16043"	"2019"	"2019"	"1-4 years"	"1-4"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Fremont County, ID"	"16043"	"2019"	"2019"	"5-9 years"	"5-9"	0	786	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Fremont County, ID"	"16043"	"2019"	"2019"	"10-14 years"	"10-14"	Suppressed	949	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Fremont County, ID"	"16043"	"2019"	"2019"	"15-19 years"	"15-19"	0	1021	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Fremont County, ID"	"16043"	"2019"	"2019"	"20-24 years"	"20-24"	0	868	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Fremont County, ID"	"16043"	"2019"	"2019"	"25-29 years"	"25-29"	Suppressed	800	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Fremont County, ID"	"16043"	"2019"	"2019"	"30-34 years"	"30-34"	Suppressed	698	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Fremont County, ID"	"16043"	"2019"	"2019"	"35-39 years"	"35-39"	Suppressed	782	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Fremont County, ID"	"16043"	"2019"	"2019"	"40-44 years"	"40-44"	Suppressed	865	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Fremont County, ID"	"16043"	"2019"	"2019"	"45-49 years"	"45-49"	Suppressed	737	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Fremont County, ID"	"16043"	"2019"	"2019"	"50-54 years"	"50-54"	0	729	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Fremont County, ID"	"16043"	"2019"	"2019"	"55-59 years"	"55-59"	Suppressed	847	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Fremont County, ID"	"16043"	"2019"	"2019"	"60-64 years "	"60-64"	Suppressed	900	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Fremont County, ID"	"16043"	"2019"	"2019"	"65-69 years"	"65-69"	Suppressed	741	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Fremont County, ID"	"16043"	"2019"	"2019"	"70-74 years"	"70-74"	Suppressed	584	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Fremont County, ID"	"16043"	"2019"	"2019"	"75-79 years"	"75-79"	18	469	Unreliable	2274.6	6065.6	904.6	0.0%
	"Idaho"	"16"	"Fremont County, ID"	"16043"	"2019"	"2019"	"80-84 years"	"80-84"	21	266	7894.7	4887.0	12068.0	1722.8	0.0%
	"Idaho"	"16"	"Fremont County, ID"	"16043"	"2019"	"2019"	"85-89 years"	"85-89"	16	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Fremont County, ID"	"16043"	"2019"	"2019"	"90-94 years"	"90-94"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Suppressed
	"Idaho"	"16"	"Fremont County, ID"	"16043"	"2019"	"2019"	"95-99 years"	"95-99"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Suppressed
	"Idaho"	"16"	"Fremont County, ID"	"16043"	"2019"	"2019"	"100+ years"	"100+"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Fremont County, ID"	"16043"	"2019"	"2019"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Fremont County, ID"	"16043"	"2020"	"2020"	"< 1 year"	"1"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Fremont County, ID"	"16043"	"2020"	"2020"	"1-4 years"	"1-4"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Suppressed
	"Idaho"	"16"	"Fremont County, ID"	"16043"	"2020"	"2020"	"5-9 years"	"5-9"	0	809	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Fremont County, ID"	"16043"	"2020"	"2020"	"10-14 years"	"10-14"	0	918	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Fremont County, ID"	"16043"	"2020"	"2020"	"15-19 years"	"15-19"	Suppressed	1035	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Fremont County, ID"	"16043"	"2020"	"2020"	"20-24 years"	"20-24"	0	809	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Fremont County, ID"	"16043"	"2020"	"2020"	"25-29 years"	"25-29"	Suppressed	836	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Fremont County, ID"	"16043"	"2020"	"2020"	"30-34 years"	"30-34"	Suppressed	719	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Fremont County, ID"	"16043"	"2020"	"2020"	"35-39 years"	"35-39"	Suppressed	801	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Fremont County, ID"	"16043"	"2020"	"2020"	"40-44 years"	"40-44"	0	872	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Fremont County, ID"	"16043"	"2020"	"2020"	"45-49 years"	"45-49"	Suppressed	734	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Fremont County, ID"	"16043"	"2020"	"2020"	"50-54 years"	"50-54"	Suppressed	779	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Fremont County, ID"	"16043"	"2020"	"2020"	"55-59 years"	"55-59"	Suppressed	825	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Fremont County, ID"	"16043"	"2020"	"2020"	"60-64 years "	"60-64"	12	903	Unreliable	686.7	2321.3	383.6	0.0%
	"Idaho"	"16"	"Fremont County, ID"	"16043"	"2020"	"2020"	"65-69 years"	"65-69"	Suppressed	813	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Fremont County, ID"	"16043"	"2020"	"2020"	"70-74 years"	"70-74"	11	586	Unreliable	937.1	3358.7	566.0	0.0%
	"Idaho"	"16"	"Fremont County, ID"	"16043"	"2020"	"2020"	"75-79 years"	"75-79"	19	475	Unreliable	2408.3	6246.5	917.7	0.0%
	"Idaho"	"16"	"Fremont County, ID"	"16043"	"2020"	"2020"	"80-84 years"	"80-84"	18	282	Unreliable	3782.9	10087.9	1504.5	0.0%
	"Idaho"	"16"	"Fremont County, ID"	"16043"	"2020"	"2020"	"85-89 years"	"85-89"	19	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
